               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 152,            0.047001,            0.058569,                   0,             0.64915,             0.70968,             0.68534,             0.28417,            0.049108,             0.01491,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.049454,              0.0617,                   0,             0.72566,             0.66129,             0.67054,             0.28754,            0.049637,            0.014605,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.047186,            0.055642,                   0,             0.63623,             0.75806,             0.66969,              0.2859,             0.04917,            0.014494,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.047675,            0.051258,                   0,              0.7377,             0.58065,             0.63439,             0.27449,            0.049936,            0.014559,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.048081,            0.058106,                   0,             0.62807,             0.66129,             0.62917,             0.26675,            0.050281,            0.014421,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.046182,            0.055763,                   0,             0.61959,             0.69355,             0.62511,             0.26363,            0.050198,            0.014494,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.047712,            0.056847,                   0,             0.65731,             0.69355,             0.64436,             0.26739,            0.050125,            0.014614,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.044704,            0.060034,                   0,             0.62896,             0.70968,             0.63882,             0.27166,            0.049989,            0.014229,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.046605,            0.054247,                   0,             0.69818,             0.77419,             0.70249,             0.29899,            0.048543,            0.013945,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.046214,            0.059739,                   0,              0.6801,             0.70968,             0.66687,              0.3035,             0.04869,            0.013746,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.046928,            0.055008,                   0,             0.66417,             0.70183,             0.67668,             0.29811,            0.048728,            0.013746,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.044391,            0.052069,                   0,             0.77128,             0.70712,             0.73571,             0.30721,            0.048368,            0.013931,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.048463,            0.058191,                   0,             0.75828,             0.70838,             0.69125,             0.30198,            0.048736,            0.014034,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.046818,            0.053891,                   0,             0.67561,             0.69355,             0.64681,             0.30321,            0.048485,            0.014185,                   0,            0.001882,            0.001882,            0.001882
